文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
waystonessable-1.0.5.jar,Waystones: Sable (Create Aeronautics Addon),1.0.5,2026/7/10 15:09:18,,BxhPGfcK,90607,K:\.minecraft\versions\BadAeroPlay\mods\waystonessable-1.0.5.jar
waystones-neoforge-1.21.1-21.1.38.jar,传送石碑/指路石 (Waystones),21.1.38,2026/7/24 14:55:05,,LOpKHB2A,1207581,K:\.minecraft\versions\BadAeroPlay\mods\waystones-neoforge-1.21.1-21.1.38.jar
watut-neoforge-1.21.0-1.2.7.jar,What Are They Up To (Watut),,2025/4/13 21:49:23,,AtB5mHky,432269,K:\.minecraft\versions\BadAeroPlay\mods\watut-neoforge-1.21.0-1.2.7.jar
VS-Sable-HoseConnectors-0.1.8-1.21.1.jar,VS / Sable Hose Connectors,0.0.9,2026/6/28 13:45:06,vsfluidlink,YaZEkFmd,755333,K:\.minecraft\versions\BadAeroPlay\mods\VS-Sable-HoseConnectors-0.1.8-1.21.1.jar
voltaic-1.21.1-1.0.11.jar,Voltaic,,2026/7/14 6:07:21,,kzF5itx6,1792391,K:\.minecraft\versions\BadAeroPlay\mods\voltaic-1.21.1-1.0.11.jar
voicechat-neoforge-1.21.1-2.6.21.jar,简单的语音聊天 (Simple Voice Chat),,2026/7/19 19:03:00,,9eGKb6K1,4913870,K:\.minecraft\versions\BadAeroPlay\mods\voicechat-neoforge-1.21.1-2.6.21.jar
visual_keybinder-1.21.1-0.1.13-neoforge.jar,Raw's Visual keybinder,,2026/5/8 7:07:27,,1020759,353558,K:\.minecraft\versions\BadAeroPlay\mods\visual_keybinder-1.21.1-0.1.13-neoforge.jar
vista-neoforge-1.21.1-5.2.5.jar,vista,,2026/7/28 7:08:13,,zuARv1N7,5729706,K:\.minecraft\versions\BadAeroPlay\mods\vista-neoforge-1.21.1-5.2.5.jar
untitledduckmod-1.6.0-neoforge-1.21.1.jar,无题鸭 (Untitled Duck),,2026/6/25 19:03:47,,ojFjz7JF,318016,K:\.minecraft\versions\BadAeroPlay\mods\untitledduckmod-1.6.0-neoforge-1.21.1.jar
unife-1.0.5.jar,Create: UniFE,,2026/5/10 4:23:10,,1486450,82446,K:\.minecraft\versions\BadAeroPlay\mods\unife-1.0.5.jar
