文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
packetfixer-3.3.1-1.20.5-1.21.X-merged.jar,Packet Fixer,3.3.1,2025/11/15 1:35:24,packetfixer,c7m1mi73,46623,K:\.minecraft\versions\BadAeroPlay\mods\packetfixer-3.3.1-1.20.5-1.21.X-merged.jar
packed_packs-neoforge-2.2.1+1.21.1.jar,Packed Packs,,2026/6/3 2:00:57,,8Pq6Exn2,781271,K:\.minecraft\versions\BadAeroPlay\mods\packed_packs-neoforge-2.2.1+1.21.1.jar
owo-lib-neoforge-0.12.15.5-beta.1+1.21.jar,oωo (owo-lib),,2025/7/19 8:45:21,,ccKDOlHs,1221583,K:\.minecraft\versions\BadAeroPlay\mods\owo-lib-neoforge-0.12.15.5-beta.1+1.21.jar
ordertocook-1.3.5-neoforge1.21.1.jar,下单了 (Order To Cook),,2026/6/18 4:20:06,,SoAnzOY4,1222094,K:\.minecraft\versions\BadAeroPlay\mods\ordertocook-1.3.5-neoforge1.21.1.jar
OpenLoader-neoforge-1.21.1-21.1.5.jar,开放式加载 (Open Loader),,2025/5/19 16:08:51,,KwWsINvD,35602,K:\.minecraft\versions\BadAeroPlay\mods\OpenLoader-neoforge-1.21.1-21.1.5.jar
open-parties-and-claims-neoforge-1.21.1-0.29.3.jar,Open Parties and Claims,,2026/7/25 23:35:12,,gF3BGWvG,1678468,K:\.minecraft\versions\BadAeroPlay\mods\open-parties-and-claims-neoforge-1.21.1-0.29.3.jar
oneenoughitem-neoforge-1.21.1-1.0.8.jar,One Enough Item,,2026/4/17 17:26:58,,7pCNymxz,260782,K:\.minecraft\versions\BadAeroPlay\mods\oneenoughitem-neoforge-1.21.1-1.0.8.jar
OELib-neoforge-1.21.1-0.2.3.jar,One Enough Lib,,2026/4/16 20:58:09,,7ODqOXka,840689,K:\.minecraft\versions\BadAeroPlay\mods\OELib-neoforge-1.21.1-0.2.3.jar
oceansdelight-neoforge-1.0.4-1.21.1.jar,海洋乐事 (Ocean's Delight),,2026/4/17 21:43:29,,DGiq4ZSW,117108,K:\.minecraft\versions\BadAeroPlay\mods\oceansdelight-neoforge-1.0.4-1.21.1.jar
notenoughcrashes-neoforge-4.4.9+1.21.1.jar,崩溃优化 (Not Enough Crashes),,2025/5/30 19:03:56,,yM94ont6,598916,K:\.minecraft\versions\BadAeroPlay\mods\notenoughcrashes-neoforge-4.4.9+1.21.1.jar
NoChatReports-NEOFORGE-1.21.1-v2.9.1.jar,禁用聊天举报 (No Chat Reports),,2024/11/9 2:15:55,,qQyHxfxd,306668,K:\.minecraft\versions\BadAeroPlay\mods\NoChatReports-NEOFORGE-1.21.1-v2.9.1.jar
netmusic-1.5.1-neoforge+mc1.21.1.jar,网络音乐机 (Net Music),,2026/5/5 22:17:44,,gKNuqaQq,1472671,K:\.minecraft\versions\BadAeroPlay\mods\netmusic-1.5.1-neoforge+mc1.21.1.jar
neoforge-urban_decor-1.21.1-1.2.1.jar,Urban Decor,,2026/6/16 5:48:52,,1bLZdx1u,4126135,K:\.minecraft\versions\BadAeroPlay\mods\neoforge-urban_decor-1.21.1-1.2.1.jar
neoforge-runiclib-1.21.1-5.0.7.jar,RunicLib,,2026/6/3 6:23:24,,mk0Htq87,175793,K:\.minecraft\versions\BadAeroPlay\mods\neoforge-runiclib-1.21.1-5.0.7.jar
Neoforge-Aeronautics-Calibrated-1.4.0.jar,Aeronautics: Calibrated,,2026/7/23 4:55:32,,8kRLmPpH,1061566,K:\.minecraft\versions\BadAeroPlay\mods\Neoforge-Aeronautics-Calibrated-1.4.0.jar
nebl-21.1.10-neoforge+1.21.1.jar,网络包优化重制版 (Not Enough Bandwidth Legacy),,2026/7/26 16:19:18,,VdO1hTrG,8631574,K:\.minecraft\versions\BadAeroPlay\mods\nebl-21.1.10-neoforge+1.21.1.jar
Neat-1.21-47-NEOFORGE.jar,极简血量显示 (Neat),,2026/3/18 7:22:05,,Ins7SzzR,110834,K:\.minecraft\versions\BadAeroPlay\mods\Neat-1.21-47-NEOFORGE.jar
mysterious_mountain_lib-1.2.15-1.21.1.jar,妖怪之山通用库 (MysteriousMountainLib),,2026/4/5 17:50:50,,ntMyNH8c,291753,K:\.minecraft\versions\BadAeroPlay\mods\mysterious_mountain_lib-1.2.15-1.21.1.jar
MyNethersDelight-1.21.1-1.10.4.jar,My Nether's Delight,,2026/7/30 3:38:56,,O53VhQoZ,904388,K:\.minecraft\versions\BadAeroPlay\mods\MyNethersDelight-1.21.1-1.10.4.jar
multiblockjs-1.1.1.jar,MultiblockJS,,2026/6/19 7:47:01,,1511505,82391,K:\.minecraft\versions\BadAeroPlay\mods\multiblockjs-1.1.1.jar
MouseTweaks-neoforge-mc1.21-2.26.1.jar,鼠标手势 (Mouse Tweaks),,2024/8/17 23:55:16,,aC3cM3Vq,73938,K:\.minecraft\versions\BadAeroPlay\mods\MouseTweaks-neoforge-mc1.21-2.26.1.jar
MoreRed-CCT-Compat-1.21.1-1.3.0.jar,More Red x CC:Tweaked Compat,,2025/2/7 5:33:44,,867286,7312,K:\.minecraft\versions\BadAeroPlay\mods\MoreRed-CCT-Compat-1.21.1-1.3.0.jar
morered-1.21.1-6.0.0.3.jar,更多红石 (More Red),,2024/9/28 9:08:09,,387638,535669,K:\.minecraft\versions\BadAeroPlay\mods\morered-1.21.1-6.0.0.3.jar
moredelight-26.05.20a-1.21-neoforge.jar,多趣乐事 (More Delight),,2026/5/22 1:58:25,,znHQQtuU,141933,K:\.minecraft\versions\BadAeroPlay\mods\moredelight-26.05.20a-1.21-neoforge.jar
moonlight-neoforge-1.21.1-3.3.0.jar,Moonlight Lib,,2026/7/26 11:05:28,,twkfQtEc,2135671,K:\.minecraft\versions\BadAeroPlay\mods\moonlight-neoforge-1.21.1-3.3.0.jar
ModernUI-NeoForge-1.21.1-3.13.0.1-universal.jar,现代化 UI (Modern UI),,2026/6/6 23:06:07,,3sjzyvGR,25228113,K:\.minecraft\versions\BadAeroPlay\mods\ModernUI-NeoForge-1.21.1-3.13.0.1-universal.jar
modernfix-neoforge-5.27.20+mc1.21.1.jar,现代化修复 (ModernFix),,2026/7/19 2:21:20,,nmDcB62a,599474,K:\.minecraft\versions\BadAeroPlay\mods\modernfix-neoforge-5.27.20+mc1.21.1.jar
minersdelight-1.21.1-1.4.5.jar,矿工乐事 (Miner's Delight / Miner's Delight +),,2026/4/30 2:11:53,,qMxbM4BQ,390203,K:\.minecraft\versions\BadAeroPlay\mods\minersdelight-1.21.1-1.4.5.jar
minecraft-cursor-neoforge-3.11.3+1.21.1.jar,Cursors Extended,,2026/4/22 7:45:32,,o5fhgLeQ,289244,K:\.minecraft\versions\BadAeroPlay\mods\minecraft-cursor-neoforge-3.11.3+1.21.1.jar
melody_neoforge_1.0.10_MC_1.21.jar,Melody,,2024/6/21 15:53:02,,CVT4pFB2,36096,K:\.minecraft\versions\BadAeroPlay\mods\melody_neoforge_1.0.10_MC_1.21.jar
mekmm-1.21.1-1.3.3.jar,通用机械：更多机器 (Mekanism: More Machine),,2026/4/13 15:49:55,,qDJXZJTz,2983024,K:\.minecraft\versions\BadAeroPlay\mods\mekmm-1.21.1-1.3.3.jar
MekanismWeapons-1.21.1-4.2.1.jar,通用机械武器 (Mekanism: Weapons),,2026/7/13 8:17:19,,XpoGu4hu,151327,K:\.minecraft\versions\BadAeroPlay\mods\MekanismWeapons-1.21.1-4.2.1.jar
MekanismTools-1.21.1-10.7.19.85.jar,通用机械工具 (Mekanism Tools),,2026/4/10 18:30:33,,tqQpq1lt,526620,K:\.minecraft\versions\BadAeroPlay\mods\MekanismTools-1.21.1-10.7.19.85.jar
MekanismGenerators-1.21.1-10.7.19.85.jar,通用机械发电机 (Mekanism Generators),,2026/4/10 18:30:36,,OFVYKsAk,1114598,K:\.minecraft\versions\BadAeroPlay\mods\MekanismGenerators-1.21.1-10.7.19.85.jar
MekanismAdditions-1.21.1-10.7.19.85.jar,通用机械附加 (Mekanism Additions),,2026/4/10 18:30:39,,a6F3uASn,1162551,K:\.minecraft\versions\BadAeroPlay\mods\MekanismAdditions-1.21.1-10.7.19.85.jar
Mekanism-1.21.1-10.7.19.85.jar,通用机械 (Mekanism),,2026/4/10 18:30:24,,Ce6I4WUE,11976009,K:\.minecraft\versions\BadAeroPlay\mods\Mekanism-1.21.1-10.7.19.85.jar
mekanism_weaponry-2.1.5.jar,Mekanism Weaponry,,2026/7/21 13:48:36,,1127676,1014447,K:\.minecraft\versions\BadAeroPlay\mods\mekanism_weaponry-2.1.5.jar
megacells-4.11.0.jar,MEGA存储单元 (MEGA Cells),,2026/4/20 4:48:16,,622112,1137276,K:\.minecraft\versions\BadAeroPlay\mods\megacells-4.11.0.jar
mcwifipnp-1.9.0-1.21-neoforge.jar,更高级联机设置 (LAN World Plug-n-Play),,2025/7/5 17:39:14,,RTWpcTBp,123285,K:\.minecraft\versions\BadAeroPlay\mods\mcwifipnp-1.9.0-1.21-neoforge.jar
mcw-trapdoors-1.1.5-mc1.21.1neoforge.jar,Macaw 的活板门 (Macaw's Trapdoors),,2025/11/24 11:46:27,,n2fvCDlM,572870,K:\.minecraft\versions\BadAeroPlay\mods\mcw-trapdoors-1.1.5-mc1.21.1neoforge.jar
mcw-roofs-2.3.2-mc1.21.1neoforge.jar,Macaw的屋顶 (Macaw's Roofs),,2025/5/4 17:46:30,,B8jaH3P1,1784829,K:\.minecraft\versions\BadAeroPlay\mods\mcw-roofs-2.3.2-mc1.21.1neoforge.jar
mcw-paintings-1.1.0-mc1.21.1neoforge.jar,Macaw的画 (Macaw's Paintings),,2026/3/30 18:50:10,,okE6QVAY,179058,K:\.minecraft\versions\BadAeroPlay\mods\mcw-paintings-1.1.0-mc1.21.1neoforge.jar
mcw-mcwwindows-2.4.2-mc1.21.1neoforge.jar,Macaw 的窗户 (Macaw's Windows),,2025/12/11 5:36:00,,C7I0BCni,1261268,K:\.minecraft\versions\BadAeroPlay\mods\mcw-mcwwindows-2.4.2-mc1.21.1neoforge.jar
mcw-mcwstairs-1.0.2-mc1.21.1neoforge.jar,Macaw的楼梯与露台 (Macaw's Stairs),,2025/12/11 6:01:44,,iP3wH1ha,529082,K:\.minecraft\versions\BadAeroPlay\mods\mcw-mcwstairs-1.0.2-mc1.21.1neoforge.jar
mcw-mcwpaths-1.1.1-mc1.21.1neoforge.jar,Macaw 的小径和路面 (Macaw's Paths and Pavings),,2025/9/25 0:16:28,,VRLhWB91,777742,K:\.minecraft\versions\BadAeroPlay\mods\mcw-mcwpaths-1.1.1-mc1.21.1neoforge.jar
mcw-mcwfences-1.2.1-mc1.21.1neoforge.jar,Macaw的栅栏与墙 (Macaw's Fences and Walls),,2025/12/9 0:10:28,,GmwLse2I,673871,K:\.minecraft\versions\BadAeroPlay\mods\mcw-mcwfences-1.2.1-mc1.21.1neoforge.jar
mcw-lights-1.1.5-mc1.21.1neoforge.jar,Macaw的灯 (Macaw's Lights and Lamps),,2025/12/7 20:48:03,,w4an97C2,525744,K:\.minecraft\versions\BadAeroPlay\mods\mcw-lights-1.1.5-mc1.21.1neoforge.jar
mcw-furniture-3.4.1-mc1.21.1neoforge.jar,Macaw的家具 (Macaw's Furniture),,2025/11/24 8:06:46,,dtWC90iB,2080436,K:\.minecraft\versions\BadAeroPlay\mods\mcw-furniture-3.4.1-mc1.21.1neoforge.jar
mcw-doors-1.1.5-mc1.21.1neoforge.jar,Macaw 的门 (Macaw's Doors),,2026/2/13 21:51:27,,kNxa8z3e,1190404,K:\.minecraft\versions\BadAeroPlay\mods\mcw-doors-1.1.5-mc1.21.1neoforge.jar
mcw-bridges-3.1.2-mc1.21.1neoforge.jar,Macaw的桥梁 (Macaw's Bridges),,2026/2/15 19:33:06,,GURcjz8O,661387,K:\.minecraft\versions\BadAeroPlay\mods\mcw-bridges-3.1.2-mc1.21.1neoforge.jar
mcef_neoforge_2.2.0_MC_1.21.1.jar,Rinku,,2026/3/5 20:06:28,,bQhBuv7x,264045,K:\.minecraft\versions\BadAeroPlay\mods\mcef_neoforge_2.2.0_MC_1.21.1.jar
mannequins-3.0.0-rc.1.jar,Mannequins,,2025/11/19 8:08:43,,wfGzjtBG,165919,K:\.minecraft\versions\BadAeroPlay\mods\mannequins-3.0.0-rc.1.jar
mafglib-0.4.3+mc1.21.1.jar,MaFgLib,,2026/1/20 18:47:52,,SKI34J7B,1314767,K:\.minecraft\versions\BadAeroPlay\mods\mafglib-0.4.3+mc1.21.1.jar
lunarinispread-1.0.0-1.12.1.jar,丰盛晚宴 (Lunarini Spread),,2025/9/6 0:22:15,,MQqt3lhp,76579,K:\.minecraft\versions\BadAeroPlay\mods\lunarinispread-1.0.0-1.12.1.jar
lootjs-neoforge-1.21.1-3.7.0.jar,LootJS: KubeJS Addon,,2026/4/29 18:52:57,,fJFETWDN,247689,K:\.minecraft\versions\BadAeroPlay\mods\lootjs-neoforge-1.21.1-3.7.0.jar
LongHotbar-2.1.0+1.21.1+neoforge.jar,Hysk-LongHotbar,,2026/5/10 9:23:45,,JtgORGSF,47302,K:\.minecraft\versions\BadAeroPlay\mods\LongHotbar-2.1.0+1.21.1+neoforge.jar
lodestone-1.21.1-1.8.2.jar,Lodestone,,2026/1/12 9:39:43,,bN3xUWdo,818829,K:\.minecraft\versions\BadAeroPlay\mods\lodestone-1.21.1-1.8.2.jar
lmft-1.1.1+1.21.9-neoforge.jar,Load My F***ing Tags,1.1.1+1.21.9,2025/10/9 6:06:50,lmft,67kVxsaO,78624,K:\.minecraft\versions\BadAeroPlay\mods\lmft-1.1.1+1.21.9-neoforge.jar
lithostitched-1.7.13-neoforge-21.1.jar,Lithostitched,,2026/7/6 8:40:08,,XaDC71GB,852541,K:\.minecraft\versions\BadAeroPlay\mods\lithostitched-1.7.13-neoforge-21.1.jar
lionfishapi-3.1.jar,Lionfish-API,,2026/6/30 17:52:22,,FoVacERa,91596,K:\.minecraft\versions\BadAeroPlay\mods\lionfishapi-3.1.jar
linearbearing-1.2.6.jar,Create: Linear Bearing,,2026/6/2 0:10:59,,1556708,148396,K:\.minecraft\versions\BadAeroPlay\mods\linearbearing-1.2.6.jar
lightmanscurrency-1.21-2.3.0.5.jar,Lightman's Currency,,2026/7/4 7:47:42,,wvMc8AJt,8073046,K:\.minecraft\versions\BadAeroPlay\mods\lightmanscurrency-1.21-2.3.0.5.jar
Lift-n-Load-1.21.1-1.0c.jar,Create: Lift n' Load |  Simulated/Aeronautics Addon,,2026/6/24 9:55:06,,aJR8vXL6,261308,K:\.minecraft\versions\BadAeroPlay\mods\Lift-n-Load-1.21.1-1.0c.jar
lexiconfig-neoforge-1.4.21-novel.jar,Lexiconfig,,2026/6/7 12:03:06,,D157Rgyf,65316,K:\.minecraft\versions\BadAeroPlay\mods\lexiconfig-neoforge-1.4.21-novel.jar
lever-drugster-1.7.1.jar,Lever drugster,,2026/7/12 13:28:01,,GQNtImhh,477209,K:\.minecraft\versions\BadAeroPlay\mods\lever-drugster-1.7.1.jar
letmedespawn-1.21.x-neoforge-1.5.0.jar,Let Me Despawn,,2025/3/16 19:41:33,,vE2FN5qn,14911,K:\.minecraft\versions\BadAeroPlay\mods\letmedespawn-1.21.x-neoforge-1.5.0.jar
lendersdelight-1.21.1-1.0.10b.jar,L_Ender 's Cataclysm Delight,,2026/6/12 2:07:14,,a48R8AGk,194532,K:\.minecraft\versions\BadAeroPlay\mods\lendersdelight-1.21.1-1.0.10b.jar
ldlib2-neoforge-1.21.1-2.2.30-all.jar,LDLib,2.2.30,2026/7/28 19:58:44,,B1CBVXHX,6597622,K:\.minecraft\versions\BadAeroPlay\mods\ldlib2-neoforge-1.21.1-2.2.30-all.jar
large_meals-1.21.1-1.0.1.jar,Large Meals,,2026/3/21 19:51:10,,vf2Brcj3,96639,K:\.minecraft\versions\BadAeroPlay\mods\large_meals-1.21.1-1.0.1.jar
L_Ender's Cataclysm 1.21.1-3.32.jar,灾变 (L_Ender 's Cataclysm),,2026/7/3 23:54:06,,46KJle7n,73362730,K:\.minecraft\versions\BadAeroPlay\mods\L_Ender's Cataclysm 1.21.1-3.32.jar
kubejstweaks-1.0.6.jar,KubeJS Tweaks,,2026/1/24 15:36:43,,1306367,421764,K:\.minecraft\versions\BadAeroPlay\mods\kubejstweaks-1.0.6.jar
kubejsprojecte-1.3.3.jar,KubeJS ProjectE,,2025/10/2 20:04:07,,838150,10422,K:\.minecraft\versions\BadAeroPlay\mods\kubejsprojecte-1.3.3.jar
kubejsdelight-1.1.6.jar,KubeJS Delight,,2026/6/4 2:28:13,,apt5xJoR,20406,K:\.minecraft\versions\BadAeroPlay\mods\kubejsdelight-1.1.6.jar
kubejsable-1.1.0.jar,KubeJSable,,2026/5/4 11:32:16,,aH1sOU2k,92585,K:\.minecraft\versions\BadAeroPlay\mods\kubejsable-1.1.0.jar
kubejs-neoforge-2101.7.2-build.368.jar,KubeJS,,2026/5/13 23:17:45,,umyGl7zF,2281720,K:\.minecraft\versions\BadAeroPlay\mods\kubejs-neoforge-2101.7.2-build.368.jar
kubejs-mekanism-neoforge-2101.1.7-build.18.jar,KubeJS Mekanism,,2025/11/12 17:21:53,,418651,58054,K:\.minecraft\versions\BadAeroPlay\mods\kubejs-mekanism-neoforge-2101.1.7-build.18.jar
kubejs-create-neoforge-2101.3.1-build.18.jar,KubeJS Create,,2025/11/12 17:21:55,,429371,38630,K:\.minecraft\versions\BadAeroPlay\mods\kubejs-create-neoforge-2101.3.1-build.18.jar
kubejs_kaleidoscope-1.1.0-mc1.21.1-neoforge.jar,Kubejs Kaleidoscope,,2026/7/28 11:59:04,,7etz58Zf,290208,K:\.minecraft\versions\BadAeroPlay\mods\kubejs_kaleidoscope-1.1.0-mc1.21.1-neoforge.jar
kubejs_csv-1.21.1-1.0.0.jar,KubeJS CSV,1.21.1-1.0.0,2025/9/9 22:53:29,kubejs_csv,1344035,22620,K:\.minecraft\versions\BadAeroPlay\mods\kubejs_csv-1.21.1-1.0.0.jar
kubejei-1.0.0.jar,KubeJS JEI,,2026/3/3 13:21:51,,1476466,29608,K:\.minecraft\versions\BadAeroPlay\mods\kubejei-1.0.0.jar
kotlinforforge-5.12.0-all.jar,Kotlin for Forge,,2026/6/29 0:33:45,,351264,7279276,K:\.minecraft\versions\BadAeroPlay\mods\kotlinforforge-5.12.0-all.jar
konkrete_neoforge_1.9.9_MC_1.21.jar,Konkrete,,2024/6/21 15:53:31,,J81TRJWm,618842,K:\.minecraft\versions\BadAeroPlay\mods\konkrete_neoforge_1.9.9_MC_1.21.jar
keybindjs-2101-1.0.1.jar,keybindjs,,2025/4/30 12:16:53,,g3ouhJY7,20178,K:\.minecraft\versions\BadAeroPlay\mods\keybindjs-2101-1.0.1.jar
kaleidoscopetavern-1.2.0-neoforge+mc1.21.1.jar,森罗物语：酒馆 (Kaleidoscope Tavern),,2026/7/1 16:08:12,,r9RZvhiJ,1708047,K:\.minecraft\versions\BadAeroPlay\mods\kaleidoscopetavern-1.2.0-neoforge+mc1.21.1.jar
kaleidoscopedoll-1.4.1-neoforge+mc1.21.1.jar,森罗物语：玩偶 (Kaleidoscope Doll),,2026/6/4 21:45:35,,vQLjjxNs,3602786,K:\.minecraft\versions\BadAeroPlay\mods\kaleidoscopedoll-1.4.1-neoforge+mc1.21.1.jar
kaleidoscopecookery-1.4.1-neoforge+mc1.21.1.jar,森罗物语：厨房 (Kaleidoscope Cookery),,2026/6/17 23:08:44,,v17FatAc,5018991,K:\.minecraft\versions\BadAeroPlay\mods\kaleidoscopecookery-1.4.1-neoforge+mc1.21.1.jar
kaleidoscopecookery_automation-1.0.2.jar,森罗厨房：自动化 (Kaleidoscope Cookery: Automation),,2026/3/12 11:19:54,,7KEJ7Rz9,105057,K:\.minecraft\versions\BadAeroPlay\mods\kaleidoscopecookery_automation-1.0.2.jar
kaleidoscope_compat-2.9.7-neoforge+mc1.21.1.jar,森罗物语：兼容 (Kaleidoscope Compat),,2026/7/16 16:15:54,,Xm1eP54z,1357431,K:\.minecraft\versions\BadAeroPlay\mods\kaleidoscope_compat-2.9.7-neoforge+mc1.21.1.jar
Kaleidoscope Texture Expansion-2.8.0-1.21.1.jar,森罗厨房：乐此不疲 (Kaleidoscope Texture Expansion),,2026/3/6 21:20:13,,sOzI21iF,430566,K:\.minecraft\versions\BadAeroPlay\mods\Kaleidoscope Texture Expansion-2.8.0-1.21.1.jar
JustEnoughResources-NeoForge-1.21.1-1.6.0.17.jar,Just Enough Resources (JER),,2025/5/8 3:06:44,,uEfK2CXF,292088,K:\.minecraft\versions\BadAeroPlay\mods\JustEnoughResources-NeoForge-1.21.1-1.6.0.17.jar
JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar,JEI工作方块 (Just Enough Professions),,2026/4/22 20:49:06,,417645,24879,K:\.minecraft\versions\BadAeroPlay\mods\JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar
JustEnoughMekanismMultiblocks-1.21.1-7.15.jar,Just Enough Mekanism Multiblocks,7.15,2026/4/13 22:41:36,,898746,185493,K:\.minecraft\versions\BadAeroPlay\mods\JustEnoughMekanismMultiblocks-1.21.1-7.15.jar
justenoughbreeding-neoforge-1.21.1-3.1.0.jar,Just Enough Breeding (JEBr),3.1.0,2026/5/24 23:49:35,,9Pk89J3g,585209,K:\.minecraft\versions\BadAeroPlay\mods\justenoughbreeding-neoforge-1.21.1-3.1.0.jar
jeimultiblocks-1.21.1-1.0.6.jar,Just Enough Immersive Multiblocks,,2025/10/21 6:19:41,,ffLYPaWN,16964,K:\.minecraft\versions\BadAeroPlay\mods\jeimultiblocks-1.21.1-1.0.6.jar
jei-1.21.1-neoforge-19.39.0.370.jar,JEI物品管理器 (Just Enough Items),19.39.0.370,2026/7/22 22:40:22,,u6dRKJwZ,1635412,K:\.minecraft\versions\BadAeroPlay\mods\jei-1.21.1-neoforge-19.39.0.370.jar
jecharacters-1.21.1-neoforge-4.5.26.jar,通用拼音搜索 (Just Enough Characters),4.5.26,2026/7/12 1:42:15,,I7k4B65h,250757,K:\.minecraft\versions\BadAeroPlay\mods\jecharacters-1.21.1-neoforge-4.5.26.jar
jauml-neoforge-1.21.1-2.1.0.jar,Jauml,2.1.0,2026/6/25 17:24:03,,ihvBalM2,36861,K:\.minecraft\versions\BadAeroPlay\mods\jauml-neoforge-1.21.1-2.1.0.jar
JadeAddons-1.21.1-NeoForge-6.1.0.jar,Jade Addons (Neo/Forge),,2025/3/17 19:51:01,,xuDOzCLy,74419,K:\.minecraft\versions\BadAeroPlay\mods\JadeAddons-1.21.1-NeoForge-6.1.0.jar
Jade-1.21.1-NeoForge-15.10.5.jar,玉 🔍 (Jade 🔍),,2026/1/29 19:11:50,,nvQzSEkH,725742,K:\.minecraft\versions\BadAeroPlay\mods\Jade-1.21.1-NeoForge-15.10.5.jar
ItemsDisplayed-NeoForge-2.0.10.jar,物品陈列 (Items Displayed),,2025/11/18 9:59:00,,PuR4vDBo,495244,K:\.minecraft\versions\BadAeroPlay\mods\ItemsDisplayed-NeoForge-2.0.10.jar
iris-neoforge-1.8.14-beta.1+mc1.21.1.jar,Iris Shaders,,2026/6/13 23:58:55,,YL57xq9U,2540723,K:\.minecraft\versions\BadAeroPlay\mods\iris-neoforge-1.8.14-beta.1+mc1.21.1.jar
inventoryhud.neoforged.1.21.1-3.4.28.jar,物品栏HUD+ (Inventory HUD+),,2025/9/2 5:11:13,,Kp2uclYl,236206,K:\.minecraft\versions\BadAeroPlay\mods\inventoryhud.neoforged.1.21.1-3.4.28.jar
interiors-1.21.1-neoforge-0.6.1.jar,机械动力：内饰 (Create: Interiors),,2026/1/29 10:53:21,,r4Knci2k,486912,K:\.minecraft\versions\BadAeroPlay\mods\interiors-1.21.1-neoforge-0.6.1.jar
ImmersiveEngineering-1.21.1-12.4.2-194.jar,沉浸工程 (Immersive Engineering),,2025/7/5 23:42:47,,tIm2nV03,14232121,K:\.minecraft\versions\BadAeroPlay\mods\ImmersiveEngineering-1.21.1-12.4.2-194.jar
immersive_paintings-neoforge-1.21.1-0.7.8.jar,沉浸画框 (Immersive Paintings),,2026/6/4 16:46:57,,6txNkua3,5500916,K:\.minecraft\versions\BadAeroPlay\mods\immersive_paintings-neoforge-1.21.1-0.7.8.jar
immersive_furniture-neoforge-0.3.2+1.21.1.jar,沉浸式家具 (Immersive Furniture),,2026/7/29 2:46:42,,SvN6UGeF,994139,K:\.minecraft\versions\BadAeroPlay\mods\immersive_furniture-neoforge-0.3.2+1.21.1.jar
immersive_aircraft-1.4.6+1.21.1-neoforge.jar,沉浸式飞机 (Immersive Aircraft),,2026/5/28 14:47:47,,x3HZvrj6,2447578,K:\.minecraft\versions\BadAeroPlay\mods\immersive_aircraft-1.4.6+1.21.1-neoforge.jar
IMBlocker-5.5.4-neoforge+1.20.6-1.21.8.jar,输入法冲突修复 (IMBlocker),,2026/5/30 12:29:12,,WMDesFsZ,196761,K:\.minecraft\versions\BadAeroPlay\mods\IMBlocker-5.5.4-neoforge+1.20.6-1.21.8.jar
Iceberg-1.21.1-neoforge-1.3.2.jar,冰山 (Iceberg),,2025/4/15 6:15:45,,5faXoLqX,213853,K:\.minecraft\versions\BadAeroPlay\mods\Iceberg-1.21.1-neoforge-1.3.2.jar
I18nUpdateMod-3.7.0-all.jar,自动汉化更新 (I18nUpdateMod),3.7.0,2025/11/1 16:14:49,i18nupdatemod,PWERr14M,49726,K:\.minecraft\versions\BadAeroPlay\mods\I18nUpdateMod-3.7.0-all.jar
hotstuff-1.1.6.jar,Hot's Aerostuff,,2026/6/9 8:55:13,,UFCtLrRv,227369,K:\.minecraft\versions\BadAeroPlay\mods\hotstuff-1.1.6.jar
handcrafted-neoforge-1.21.1-4.0.3.jar,精巧手艺 (Handcrafted),,2025/3/22 8:24:01,,pJmCFF0p,7132842,K:\.minecraft\versions\BadAeroPlay\mods\handcrafted-neoforge-1.21.1-4.0.3.jar
guideme-21.1.17.jar,GuideME,,2026/7/13 3:49:01,,Ck4E7v7R,9309396,K:\.minecraft\versions\BadAeroPlay\mods\guideme-21.1.17.jar
goldenhopper-neoforge-1.21.1-1.5.6.jar,金漏斗 (Golden Hopper),,2024/11/20 0:24:38,,374736,138014,K:\.minecraft\versions\BadAeroPlay\mods\goldenhopper-neoforge-1.21.1-1.5.6.jar
Glodium-1.21-2.2-neoforge.jar,Glodium,,2025/2/4 21:09:39,,UhW5uCKw,61377,K:\.minecraft\versions\BadAeroPlay\mods\Glodium-1.21-2.2-neoforge.jar
GlitchCore-neoforge-1.21.1-2.1.0.2.jar,GlitchCore,,2026/5/19 1:16:01,,955399,90717,K:\.minecraft\versions\BadAeroPlay\mods\GlitchCore-neoforge-1.21.1-2.1.0.2.jar
geckolib-neoforge-1.21.1-4.9.2.jar,Geckolib,,2026/7/1 11:42:04,,8BmcQJ2H,630584,K:\.minecraft\versions\BadAeroPlay\mods\geckolib-neoforge-1.21.1-4.9.2.jar
garnished-2.1.9.2+1.21.1-neoforged.jar,机械动力：装食 (Create: Garnished),,2026/7/29 1:20:37,,6e2SlzR4,3725336,K:\.minecraft\versions\BadAeroPlay\mods\garnished-2.1.9.2+1.21.1-neoforged.jar
fzzy_config-0.7.6+1.21+neoforge.jar,Fzzy Config,,2026/2/3 9:49:45,,hYykXjDp,2369895,K:\.minecraft\versions\BadAeroPlay\mods\fzzy_config-0.7.6+1.21+neoforge.jar
fusion-1.3.5-neoforge-mc1.21.1.jar,Fusion (Connected Textures),1.3.5,2026/7/2 7:11:46,,p19vrgc2,893204,K:\.minecraft\versions\BadAeroPlay\mods\fusion-1.3.5-neoforge-mc1.21.1.jar
